long,lat,group,order,Kiez
13.40352847102303,52.54021229004891,1,1,Mitte
13.40419504244239,52.54040155744361,1,2,Mitte
13.404704640731119,52.54018762805795,1,3,Mitte
13.40513429514989,52.53928692008601,1,4,Mitte
13.405178156032548,52.53919506240607,1,5,Mitte
13.40535732098709,52.53883662573004,1,6,Mitte
13.40530267291025,52.53882555914601,1,7,Mitte
13.4053631775034,52.5387114440811,1,8,Mitte
13.405415404142829,52.53872052891621,1,9,Mitte
13.40551892181576,52.53851356579541,1,10,Mitte
13.40546172130289,52.53850249451786,1,11,Mitte
13.40581420986313,52.53778426096997,1,12,Mitte
13.405885259686357,52.53779688573182,1,13,Mitte
13.406032108981838,52.53750507323907,1,14,Mitte
13.40606882167546,52.53743198527733,1,15,Mitte
13.40614347263265,52.53728374452827,1,16,Mitte
13.40640163771502,52.53677896079591,1,17,Mitte
13.4065463683221,52.53649622082569,1,18,Mitte
13.40657754864275,52.536435255225314,1,19,Mitte
13.40670791672718,52.536180169139286,1,20,Mitte
13.40674830256644,52.5361013359242,1,21,Mitte
13.40678249030664,52.53602222156957,1,22,Mitte
13.40691763874805,52.53570998508651,1,23,Mitte
13.40748624729502,52.53468972547456,1,24,Mitte
13.408116033674709,52.53444005461385,1,25,Mitte
13.40834999165947,52.53434782736098,1,26,Mitte
13.40818103988786,52.53417540957576,1,27,Mitte
13.407683419020287,52.53366041862284,1,28,Mitte
13.40733611912479,52.53330100406189,1,29,Mitte
13.40716202678135,52.53311293740441,1,30,Mitte
13.40642440819715,52.53234836873315,1,31,Mitte
13.40636237006733,52.53206677192388,1,32,Mitte
13.40610279794961,52.53115929298481,1,33,Mitte
13.40604609774042,52.53095319900728,1,34,Mitte
13.4059911751718,52.53078054097477,1,35,Mitte
13.40608649213304,52.530605017300175,1,36,Mitte
13.405928520342899,52.53038049039813,1,37,Mitte
13.40591138745725,52.53035538395913,1,38,Mitte
13.40558584403681,52.5296649132353,1,39,Mitte
13.406626966994388,52.529489713076124,1,40,Mitte
13.40720730291645,52.52939372737676,1,41,Mitte
13.40741482014509,52.52935879176441,1,42,Mitte
13.40750520046028,52.52934314145557,1,43,Mitte
13.40815779724817,52.52923272541966,1,44,Mitte
13.408189301856138,52.52922739118039,1,45,Mitte
13.408394571583068,52.52917968777061,1,46,Mitte
13.40874389940834,52.52909989499257,1,47,Mitte
13.40930530371637,52.5289715998472,1,48,Mitte
13.40939716714433,52.52895064832314,1,49,Mitte
13.41009195075696,52.52881055113546,1,50,Mitte
13.41080177463895,52.52870049479802,1,51,Mitte
13.411313828473919,52.52862108082878,1,52,Mitte
13.411936827419048,52.52844498301739,1,53,Mitte
13.41218485589812,52.52837515198917,1,54,Mitte
13.41324449070054,52.52807985716311,1,55,Mitte
13.4141840111768,52.52781498401413,1,56,Mitte
13.41445186996217,52.52773943196086,1,57,Mitte
13.41543178029932,52.52746293782671,1,58,Mitte
13.41595460463456,52.527185083905074,1,59,Mitte
13.41614577309068,52.52708350817295,1,60,Mitte
13.416221959215068,52.52706099564729,1,61,Mitte
13.41635498349434,52.52702105883739,1,62,Mitte
13.416685268343478,52.52687578142992,1,63,Mitte
13.41670758396307,52.52688543738627,1,64,Mitte
13.41690476806663,52.52679600391984,1,65,Mitte
13.41689012335393,52.52678330591484,1,66,Mitte
13.417963550105549,52.52630680975494,1,67,Mitte
13.41824962211788,52.52617996384567,1,68,Mitte
13.41948887926002,52.52565710161844,1,69,Mitte
13.419753360780259,52.52554549267338,1,70,Mitte
13.4205012846251,52.52524985746129,1,71,Mitte
13.421186135600609,52.52497837374951,1,72,Mitte
13.42147686044306,52.52486626725214,1,73,Mitte
13.42162989567638,52.52480649730014,1,74,Mitte
13.42337646425989,52.5241191057368,1,75,Mitte
13.42370310209658,52.52399069856969,1,76,Mitte
13.42395605716061,52.52389703503792,1,77,Mitte
13.424112715994339,52.5238405933731,1,78,Mitte
13.42424623131649,52.52379588527901,1,79,Mitte
13.42477901208316,52.52363070988115,1,80,Mitte
13.42543403123562,52.52344066536795,1,81,Mitte
13.42548492070278,52.52344677331727,1,82,Mitte
13.42575390599239,52.52338054438611,1,83,Mitte
13.42588211630129,52.5233526316622,1,84,Mitte
13.426012720007968,52.52333281140814,1,85,Mitte
13.426093089258718,52.52332315143188,1,86,Mitte
13.426173818535018,52.5233144806116,1,87,Mitte
13.426254667255257,52.5233062593025,1,88,Mitte
13.426335754081219,52.52329911681471,1,89,Mitte
13.42650203074543,52.52329112970506,1,90,Mitte
13.42650891034746,52.523167745964855,1,91,Mitte
13.42651229633006,52.523064397953874,1,92,Mitte
13.42652149411353,52.52293895105199,1,93,Mitte
13.42615430311563,52.52292979192531,1,94,Mitte
13.42600412513238,52.52292531350536,1,95,Mitte
13.42590843294413,52.52283096459259,1,96,Mitte
13.4255479465077,52.52279080882668,1,97,Mitte
13.42593125089517,52.5226236666801,1,98,Mitte
13.42671952499537,52.52227970898258,1,99,Mitte
13.4276225635426,52.52189450763096,1,100,Mitte
13.42778804443969,52.52181929250829,1,101,Mitte
13.42856554333573,52.52148707775482,1,102,Mitte
13.42918159249831,52.52122388068803,1,103,Mitte
13.42918994607974,52.52120367323259,1,104,Mitte
13.42894106599702,52.52069304980127,1,105,Mitte
13.42890663001294,52.5206224421114,1,106,Mitte
13.42845692842198,52.519699684600305,1,107,Mitte
13.42840142429433,52.519585812633636,1,108,Mitte
13.427497657847399,52.51960640457792,1,109,Mitte
13.42746350592875,52.51960805471024,1,110,Mitte
13.42741061755,52.51961497580265,1,111,Mitte
13.427354788533,52.51962728429324,1,112,Mitte
13.42691670018199,52.51974392000258,1,113,Mitte
13.4268813165683,52.51969559857734,1,114,Mitte
13.42656902734324,52.519268894098225,1,115,Mitte
13.42619069007872,52.5187518445714,1,116,Mitte
13.42592707863213,52.51839163678353,1,117,Mitte
13.42630263547269,52.51828954820593,1,118,Mitte
13.42624048092483,52.5181968739344,1,119,Mitte
13.42618673634511,52.51812524412494,1,120,Mitte
13.426148952123839,52.51807089691573,1,121,Mitte
13.426331630080288,52.51803229118887,1,122,Mitte
13.42633874087527,52.51804506517067,1,123,Mitte
13.426505969030279,52.51801047731357,1,124,Mitte
13.4267541963722,52.51795904003463,1,125,Mitte
13.42647583200379,52.517476311750706,1,126,Mitte
13.42641031044485,52.517376082537766,1,127,Mitte
13.4263881073875,52.51734225277146,1,128,Mitte
13.42639255257546,52.517326622405925,1,129,Mitte
13.42596307248563,52.51657141208706,1,130,Mitte
13.425819665527948,52.51633902715727,1,131,Mitte
13.425672052091018,52.51607023636771,1,132,Mitte
13.42559865653458,52.515939077021805,1,133,Mitte
13.42513986998956,52.51514220255037,1,134,Mitte
13.425103212274099,52.5150814759127,1,135,Mitte
13.42500409071587,52.51494416100938,1,136,Mitte
13.42485929314,52.51475239503816,1,137,Mitte
13.42438973578295,52.51413722221731,1,138,Mitte
13.42429902453388,52.51402140070096,1,139,Mitte
13.424239114302328,52.51394490626429,1,140,Mitte
13.42410267504812,52.51378640661175,1,141,Mitte
13.42406765386975,52.51374024185549,1,142,Mitte
13.42401106606094,52.51368118833916,1,143,Mitte
13.42394830838021,52.51356361692985,1,144,Mitte
13.42384411410403,52.51336850400345,1,145,Mitte
13.423677015110039,52.51319377417416,1,146,Mitte
13.423418631180448,52.51292353218973,1,147,Mitte
13.42334875508374,52.51284845814103,1,148,Mitte
13.42329834384913,52.51279408827416,1,149,Mitte
13.42323959095337,52.51273080662658,1,150,Mitte
13.423245553532409,52.51272874979357,1,151,Mitte
13.42321956207718,52.51270075463286,1,152,Mitte
13.42302130347667,52.51248705529535,1,153,Mitte
13.422793999944568,52.51224939938452,1,154,Mitte
13.42278070555585,52.51223436770001,1,155,Mitte
13.42301154825627,52.51212673770496,1,156,Mitte
13.423032124312098,52.51211715668979,1,157,Mitte
13.42305114866016,52.512127884298124,1,158,Mitte
13.42307810840646,52.51213026736215,1,159,Mitte
